IndustryCode,IndustryName,ComplianceDomainCode,ComplianceDomain,CommonRegulatorBodyTypes,TypicalCoverage,PrimarySourceIDs,PrimarySourceURLs,ImplementationPriority,DataverseMappingNote
22,Non-Durable Merchandise Retail,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
22,Non-Durable Merchandise Retail,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
22,Non-Durable Merchandise Retail,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
23,Outbound Consumer Service,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
23,Outbound Consumer Service,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
23,Outbound Consumer Service,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
23,Outbound Consumer Service,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
23,Outbound Consumer Service,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,ENERGY,Energy & utilities,Energy ministry; utility regulator,"Electricity, gas, oil, pipelines, utility markets",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
24,Petrochemical Extraction and Distribution,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
25,Service Retail,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
25,Service Retail,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
25,Service Retail,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
25,Service Retail,REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
25,Service Retail,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
26,SIG Affiliations,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
26,SIG Affiliations,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
26,SIG Affiliations,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
26,SIG Affiliations,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
26,SIG Affiliations,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,EDU,Education & social services,Education ministry; social services ministry; charity regulator,"Licensing, safeguarding, grants, nonprofit regulation",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,HEALTH,"Healthcare, medical products & public health",Health ministry; medical product regulator; public health agency,"Healthcare delivery, medical devices, drugs, patient safety",SRC-WHO-WLA,https://www.who.int/initiatives/who-listed-authority-reg-authorities,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
27,Social Services,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
28,Special Outbound Trade Contractors,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
29,Specialty Realty,REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
29,Specialty Realty,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
29,Specialty Realty,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
29,Specialty Realty,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
29,Specialty Realty,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,TRAN,Transportation & logistics,Transport ministry; aviation/maritime/rail/road authorities,"Transport safety, carrier licensing, logistics compliance",SRC-ICAO; SRC-FAA-INTL-CIVIL-AUTH; SRC-IMO,https://www.icao.int/about-icao/member-states | https://www.faa.gov/aircraft/air_cert/international/bilateral_agreements/link_intl_sites/civil_avi_auth | https://www.imo.org/en/ourwork/ero/pages/memberstates.aspx,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
30,Transportation,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,ENERGY,Energy & utilities,Energy ministry; utility regulator,"Electricity, gas, oil, pipelines, utility markets",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
31,Utility Creation and Distribution,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,TRAN,Transportation & logistics,Transport ministry; aviation/maritime/rail/road authorities,"Transport safety, carrier licensing, logistics compliance",SRC-ICAO; SRC-FAA-INTL-CIVIL-AUTH; SRC-IMO,https://www.icao.int/about-icao/member-states | https://www.faa.gov/aircraft/air_cert/international/bilateral_agreements/link_intl_sites/civil_avi_auth | https://www.imo.org/en/ourwork/ero/pages/memberstates.aspx,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
32,Vehicle Retail,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
33,Wholesale,COMP,Competition / antitrust,Competition authority; antitrust agency,"Merger control, cartels, abuse of dominance",SRC-ICN,https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
